member_casual,end_station_name,end_count
casual,Spaulding Ave & Armitage Ave,2284
casual,Sheridan Rd & Lawrence Ave,2281
casual,Morgan St & Polk St,2278
casual,Humboldt Blvd & Armitage Ave,2270
casual,Morgan St & 18th St,2265
casual,Woodlawn Ave & 55th St,2233
casual,Sheridan Rd & Noyes St (NU),2228
casual,State St & Pearson St,2207
casual,Canal St & Taylor St,2181
casual,Western Ave & Division St,2168
casual,California Ave & Division St,2167
casual,Leavitt St & Armitage Ave,2166
casual,Leavitt St & Chicago Ave,2160
casual,Broadway & Ridge Ave,2153
casual,Lincoln Ave & Belmont Ave (Temp),2145
casual,Ashland Ave & Grand Ave,2141
casual,Ashland Ave & Lake St,2139
casual,Fairbanks St & Superior St,2136
casual,Jefferson St & Monroe St,2124
casual,Lake Park Ave & 56th St,2114
casual,Ashland Ave & Wellington Ave,2084
casual,Lincoln Ave & Sunnyside Ave,2013
casual,Lincoln Ave & Belle Plaine Ave,2010
casual,Benson Ave & Church St,2000
casual,Ashland Ave & Chicago Ave,1993
casual,Wabash Ave & Cermak Rd,1981
casual,Leavitt St & Belmont Ave,1976
casual,Wolcott (Ravenswood) Ave & Montrose Ave,1964
casual,Clybourn Ave & Division St,1963
casual,California Ave & Fletcher St,1942
casual,Sheridan Rd & Loyola Ave,1932
casual,Ravenswood Ave & Irving Park Rd,1930
casual,Green St & Randolph St,1910
casual,California Ave & North Ave,1908
casual,Clark St & 9th St (AMLI),1905
casual,Sedgwick St & Schiller St,1879
casual,Milwaukee Ave & Rockwell St,1857
casual,California Ave & Francis Pl (Temp),1846
casual,Paulina St & 18th St,1841
casual,Racine Ave & Randolph St,1840
casual,Ellis Ave & 58th St,1833
casual,Ashland Ave & Augusta Blvd,1825
casual,Damen Ave & Grand Ave,1814
casual,Financial Pl & Ida B Wells Dr,1798
casual,Wood St & Augusta Blvd,1769
casual,Kedzie Ave & Palmer Ct,1747
casual,Throop St & Taylor St,1746
casual,Damen Ave & Melrose Ave,1746
casual,Albany Ave & Bloomingdale Ave,1745
casual,Larrabee St & Oak St,1729
casual,Damen Ave & Foster Ave,1705
casual,LaSalle St & Adams St,1686
casual,Larrabee St & Menomonee St,1670
casual,Loomis St & Jackson Blvd,1665
casual,Stave St & Armitage Ave,1642
casual,Orleans St & Elm St,1629
casual,Green St & Washington Blvd,1626
casual,Damen Ave & Clybourn Ave,1625
casual,Damen Ave & Leland Ave,1610
casual,Central Park Ave & Bloomingdale Ave,1601
casual,Ashland Ave & Belle Plaine Ave,1598
casual,Racine Ave & Washington Blvd,1588
casual,Halsted St & Roosevelt Rd,1557
casual,Campbell Ave & Fullerton Ave,1555
casual,Lincoln Ave & Waveland Ave,1544
casual,Clark St & Ida B Wells Dr,1515
casual,California Ave & Altgeld St,1506
casual,Glenwood Ave & Morse Ave,1495
casual,Buckingham Fountain (Temp),1474
casual,MLK Jr Dr & 29th St,1460
casual,St. Louis Ave & Fullerton Ave,1445
casual,Troy St & North Ave,1444
casual,Elizabeth (May) St & Fulton St,1440
casual,Damen Ave & Cullerton St,1430
casual,Wood St & Hubbard St,1428
casual,Lincoln Ave & Addison St,1413
casual,Blackstone Ave & Hyde Park Blvd,1408
casual,Elston Ave & Wabansia Ave,1399
casual,State St & 33rd St,1387
casual,Damen Ave & Madison St,1353
casual,Leavitt St & Division St,1346
